frames,reward,dist
2000,1.0000,0.9386
4000,1.0000,0.8525
6000,1.0000,1.0204
8000,1.0000,0.8576
10000,1.0000,0.7165
12000,1.0000,0.6163
14000,1.0000,0.5995
16000,1.0000,0.6708
18000,1.0000,0.6227
20000,1.0000,0.5381
22000,1.0000,0.6520
24000,1.0000,0.8851
26000,1.0000,0.8509
28000,1.0000,0.6816
30000,1.0000,0.8563
32000,1.0000,0.8908
34000,1.0000,0.6922
36000,1.0000,0.7069
38000,1.0000,0.9348
40000,1.0000,0.8955
42000,1.0000,0.8169
44000,1.0000,0.9070
46000,1.0000,0.8899
48000,1.0000,0.8570
50000,1.0000,0.7616
52000,1.0000,0.6889
54000,1.0000,0.6788
56000,1.0000,0.6527
58000,1.0000,0.6324
60000,1.0000,0.6283
62000,1.0000,0.6196
64000,1.0000,0.6153
66000,1.0000,0.5906
68000,1.0000,0.5906
70000,1.0000,0.6118
72000,1.0000,0.5713
74000,1.0000,0.5650
76000,1.0000,0.5819
78000,1.0000,0.5187
80000,1.0000,0.4294
82000,1.0000,0.4765
84000,1.0000,0.5206
86000,1.0000,0.4369
88000,1.0000,0.4015
90000,1.0000,0.3731
92000,1.0000,0.3767
94000,1.0000,0.3601
96000,1.0000,0.3564
98000,1.0000,0.3717
100000,1.0000,0.3365
102000,1.0000,0.3406
104000,1.0000,0.3411
106000,1.0000,0.3200
108000,1.0000,0.3179
110000,1.0000,0.2672
112000,1.0000,0.2955
114000,1.0000,0.3088
116000,1.0000,0.3009
118000,1.0000,0.2966
120000,1.0000,0.2942
122000,1.0000,0.3061
124000,1.0000,0.3006
126000,1.0000,0.2841
128000,1.0000,0.2750
130000,1.0000,0.2337
132000,1.0000,0.2331
134000,1.0000,0.2419
136000,1.0000,0.2611
138000,0.8000,0.3094
140000,1.0000,0.2162
142000,1.0000,0.2581
144000,1.0000,0.2716
146000,1.0000,0.2466
148000,1.0000,0.2698
150000,1.0000,0.1842
152000,1.0000,0.2389
154000,1.0000,0.2514
156000,1.0000,0.2193
158000,1.0000,0.2329
160000,1.0000,0.2277
162000,1.0000,0.2339
164000,1.0000,0.2137
166000,1.0000,0.2552
168000,1.0000,0.2298
170000,1.0000,0.2100
172000,1.0000,0.2344
174000,1.0000,0.2211
176000,1.0000,0.2322
178000,1.0000,0.2693
180000,1.0000,0.2749
182000,1.0000,0.2285
184000,1.0000,0.1889
186000,1.0000,0.2903
188000,1.0000,0.2223
190000,1.0000,0.3173
192000,1.0000,0.2173
194000,1.0000,0.3034
196000,1.0000,0.3086
198000,1.0000,0.2933
200000,1.0000,0.3815
