frames,reward,dist
2000,0.4000,7.1012
4000,0.6000,7.5797
6000,1.0000,4.9140
8000,0.6000,8.3031
10000,0.8000,6.4072
12000,1.0000,5.0782
14000,1.0000,4.4074
16000,0.8000,5.4833
18000,1.0000,4.8884
20000,0.2000,5.4896
22000,0.0000,6.7893
24000,0.0000,6.1852
26000,0.0000,8.8168
28000,0.4000,5.9154
30000,0.0000,5.1503
32000,0.0000,6.1989
34000,0.0000,5.7954
36000,0.0000,4.2890
38000,0.0000,4.1080
40000,0.0000,4.6623
42000,0.0000,3.9662
44000,0.0000,3.7007
46000,0.0000,5.7888
48000,0.0000,3.8178
50000,0.0000,4.6375
52000,0.0000,4.4476
54000,0.0000,4.8773
56000,0.0000,4.4886
58000,0.0000,4.5948
60000,0.0000,5.6530
62000,0.0000,4.3879
64000,0.0000,6.1928
66000,0.0000,5.2388
68000,0.0000,4.8551
70000,0.0000,5.6387
72000,0.0000,5.0444
74000,0.0000,5.2154
76000,0.0000,5.2280
78000,0.0000,4.0791
80000,0.0000,5.3129
82000,0.0000,4.8729
84000,0.0000,5.9527
86000,0.0000,5.9091
88000,0.0000,6.4868
90000,0.0000,5.3664
92000,0.0000,5.3191
94000,0.0000,5.8294
96000,0.0000,5.3180
98000,0.0000,6.9946
100000,0.0000,5.3156
102000,0.0000,4.9644
104000,0.0000,4.9744
106000,0.0000,6.9274
108000,0.0000,8.1856
110000,0.0000,5.1101
112000,0.0000,5.2736
114000,0.0000,5.5820
116000,0.0000,6.1405
118000,0.0000,6.6609
120000,0.0000,5.9670
122000,0.0000,6.2219
124000,0.0000,6.6986
126000,0.0000,5.4940
128000,0.0000,6.7183
130000,0.0000,5.6185
132000,0.0000,6.3638
134000,0.0000,6.1741
136000,0.0000,7.6075
138000,0.0000,7.2238
140000,0.0000,7.3360
142000,0.0000,6.3361
144000,0.0000,6.9328
146000,0.0000,6.9605
148000,0.0000,7.2658
150000,0.0000,7.1032
152000,0.0000,7.3286
154000,0.0000,7.4166
156000,0.0000,7.1768
158000,0.0000,6.4902
160000,0.0000,6.6972
162000,0.0000,7.2524
164000,0.0000,7.8019
166000,0.0000,6.1830
168000,0.0000,6.1687
170000,0.0000,6.0203
172000,0.0000,7.6233
174000,0.0000,8.2292
176000,0.0000,7.3113
178000,0.0000,7.3117
180000,0.0000,7.8364
182000,0.0000,7.2524
184000,0.0000,7.1118
186000,0.0000,5.7917
188000,0.0000,7.3873
190000,0.0000,7.4868
192000,0.0000,8.2243
194000,0.0000,7.4039
196000,0.0000,7.3255
198000,0.0000,7.0998
200000,0.0000,6.7406
