frames,reward,dist
2000,0.0000,4.1612
4000,0.0000,4.5313
6000,0.0000,4.5699
8000,0.0000,7.2429
10000,0.0000,7.0835
12000,0.2000,6.6701
14000,0.0000,8.0322
16000,0.0000,8.6776
18000,0.0000,7.4547
20000,0.0000,8.4586
22000,0.0000,7.0421
24000,0.0000,5.7208
26000,0.0000,6.7809
28000,0.0000,5.8048
30000,0.0000,7.2054
32000,0.0000,8.2563
34000,0.0000,7.9792
36000,0.0000,8.5323
38000,0.0000,6.3438
40000,0.2000,6.1458
42000,0.6000,8.1451
44000,0.0000,7.3141
46000,0.0000,7.4008
48000,0.4000,7.7153
50000,0.2000,7.4848
52000,0.0000,6.2624
54000,0.0000,6.8389
56000,0.4000,7.3408
58000,0.4000,7.0384
60000,0.4000,6.7352
62000,0.2000,6.3496
64000,0.0000,6.1512
66000,0.0000,6.0250
68000,0.4000,6.8757
70000,0.4000,5.7617
72000,0.4000,6.1779
74000,0.8000,6.1995
76000,0.4000,7.2449
78000,0.4000,6.3064
80000,0.6000,6.8141
82000,0.0000,5.7280
84000,0.0000,5.3305
86000,0.4000,6.7882
88000,0.0000,5.4796
90000,0.2000,5.5941
92000,0.8000,5.2233
94000,0.6000,5.7210
96000,0.2000,5.7233
98000,0.6000,6.7880
100000,0.0000,6.2446
102000,0.0000,5.6824
104000,0.6000,6.1889
106000,0.4000,5.7494
108000,0.0000,5.1670
110000,0.2000,5.9802
112000,0.2000,5.3938
114000,0.4000,6.3727
116000,0.0000,5.3869
118000,0.0000,6.4328
120000,0.4000,6.4438
122000,0.0000,5.2775
124000,0.2000,5.1696
126000,0.0000,5.1480
128000,0.0000,4.9555
130000,0.0000,5.4909
132000,0.0000,5.1864
134000,0.0000,5.4317
136000,0.2000,4.7234
138000,0.0000,3.5835
140000,0.2000,5.6472
142000,0.0000,4.9386
144000,0.0000,5.3713
146000,0.0000,3.2642
148000,0.2000,4.8879
150000,0.0000,4.7733
152000,0.6000,4.1947
154000,0.0000,4.9859
156000,0.2000,4.8135
158000,0.2000,5.4355
160000,0.0000,4.6403
162000,0.2000,4.7957
164000,0.6000,4.8803
166000,0.4000,5.1639
168000,0.4000,5.1446
170000,0.2000,4.9518
172000,0.2000,6.0114
174000,0.2000,4.5606
176000,0.2000,5.0579
178000,0.6000,4.0137
180000,0.2000,5.1205
182000,0.4000,4.5575
184000,0.0000,4.6521
186000,0.4000,4.8487
188000,0.4000,4.6413
190000,0.0000,4.6047
192000,0.2000,4.8548
194000,0.2000,4.2318
196000,0.2000,3.7127
198000,0.2000,4.2741
200000,0.0000,4.0648
