frames,reward,dist
2000,1.0000,0.9047
4000,1.0000,0.7385
6000,1.0000,0.5565
8000,1.0000,0.4675
10000,1.0000,0.5176
12000,1.0000,0.6447
14000,1.0000,0.6403
16000,1.0000,0.6838
18000,1.0000,0.6941
20000,1.0000,0.7008
22000,1.0000,0.7151
24000,1.0000,0.6782
26000,1.0000,0.5760
28000,1.0000,0.5630
30000,1.0000,0.5568
32000,1.0000,0.5642
34000,1.0000,0.5379
36000,1.0000,0.5914
38000,1.0000,0.5344
40000,1.0000,0.6160
42000,1.0000,0.5824
44000,1.0000,0.6189
46000,1.0000,0.5381
48000,1.0000,0.5166
50000,1.0000,0.5331
52000,1.0000,0.4486
54000,1.0000,0.5030
56000,1.0000,0.4424
58000,1.0000,0.4723
60000,1.0000,0.3979
62000,1.0000,0.4688
64000,1.0000,0.4034
66000,1.0000,0.4372
68000,1.0000,0.4353
70000,1.0000,0.4548
72000,1.0000,0.4005
74000,1.0000,0.4784
76000,1.0000,0.4654
78000,1.0000,0.3751
80000,1.0000,0.3901
82000,1.0000,0.3908
84000,1.0000,0.4053
86000,1.0000,0.4616
88000,1.0000,0.3650
90000,1.0000,0.4258
92000,1.0000,0.3671
94000,1.0000,0.4346
96000,1.0000,0.4209
98000,1.0000,0.3906
100000,1.0000,0.4186
102000,1.0000,0.4152
104000,1.0000,0.4001
106000,1.0000,0.3601
108000,1.0000,0.4790
110000,1.0000,0.4171
112000,1.0000,0.4182
114000,1.0000,0.4252
116000,1.0000,0.4046
118000,1.0000,0.5171
120000,1.0000,0.4852
122000,1.0000,0.4244
124000,1.0000,0.5197
126000,1.0000,0.5410
128000,1.0000,0.5016
130000,1.0000,0.4119
132000,1.0000,0.6695
134000,1.0000,0.5549
136000,1.0000,0.5447
138000,1.0000,0.6677
140000,1.0000,0.6435
142000,1.0000,0.6106
144000,1.0000,0.6192
146000,1.0000,0.5227
148000,1.0000,0.6399
150000,1.0000,0.6232
152000,0.4000,0.4741
154000,1.0000,0.6191
156000,1.0000,0.7030
158000,1.0000,0.5785
160000,1.0000,0.7713
162000,1.0000,0.6717
164000,1.0000,0.6297
166000,1.0000,0.6685
168000,1.0000,0.5775
170000,1.0000,0.6860
172000,0.8000,0.4733
174000,1.0000,0.5954
176000,0.0000,0.4178
178000,0.0000,0.3794
180000,1.0000,0.5521
182000,0.6000,0.4427
184000,0.0000,0.4011
186000,0.0000,0.4477
188000,0.2000,0.4328
190000,0.0000,0.4139
192000,0.0000,0.3993
194000,0.0000,0.4221
196000,0.0000,0.4440
198000,0.0000,0.4007
200000,1.0000,0.5137
