frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,5.7385
60000,0.0000,2.1480
65000,0.0000,4.1451
70000,0.0000,5.1704
75000,0.0000,8.7542
80000,0.0000,6.8206
85000,0.0000,7.0651
90000,0.0000,5.6660
95000,0.0000,3.6741
100000,0.0000,6.9345
105000,0.0000,7.8119
110000,0.0000,10.1361
115000,0.0000,11.9896
120000,0.0000,10.1190
125000,0.0000,10.2772
130000,0.0000,10.0373
135000,0.0000,10.4145
140000,0.0000,8.5492
145000,0.0000,6.7260
150000,0.0000,4.1253
155000,0.0000,5.9966
160000,0.0000,6.9799
165000,0.0000,6.1437
170000,0.0000,8.7080
175000,0.0000,8.3436
180000,0.0000,6.6420
185000,0.0000,6.3276
190000,0.0000,12.0827
195000,0.0000,10.0896
200000,0.0000,6.1351
205000,0.0000,9.3378
210000,0.0000,5.8475
215000,0.0000,6.8879
220000,0.0000,8.7754
225000,0.0000,7.4200
230000,0.0000,10.9825
235000,0.0000,11.6413
240000,0.0000,9.6732
245000,0.0000,8.8163
250000,0.0000,7.5110
255000,0.0000,10.3937
260000,0.0000,7.1843
265000,0.0000,9.3116
270000,0.0000,9.9442
275000,0.0000,7.5129
280000,0.0000,7.8470
285000,0.0000,6.3336
290000,0.0000,9.3619
295000,0.0000,9.2466
300000,0.0000,6.6215
305000,0.0000,8.1325
310000,0.0000,8.9352
315000,0.0000,8.3438
320000,0.0000,8.9822
325000,0.0000,6.2290
330000,0.0000,8.5073
335000,0.0000,7.9866
340000,0.0000,9.3192
345000,0.0000,8.0773
350000,0.0000,8.7516
355000,0.0000,10.2482
360000,0.0000,8.5842
365000,0.0000,7.5012
370000,0.0000,8.3933
375000,0.0000,5.7008
380000,0.0000,5.4237
385000,0.0000,8.1499
390000,0.0000,7.8418
395000,0.0000,7.2217
400000,0.0000,7.1252
405000,0.0000,4.1743
410000,0.0000,6.9957
415000,0.0000,8.2439
420000,0.0000,6.8274
425000,0.0000,4.8122
430000,0.0000,6.3456
435000,0.0000,7.0427
440000,0.0000,7.1611
445000,0.0000,5.7595
450000,0.0000,8.5420
455000,0.0000,6.5880
460000,0.0000,8.7478
465000,0.0000,6.5366
470000,0.0000,8.5741
475000,0.0000,6.3892
480000,0.0000,7.7299
485000,0.0000,7.4205
490000,0.0000,6.3701
495000,0.0000,5.8554
500000,0.0000,7.6828
505000,0.0000,6.2606
510000,0.0000,6.3254
515000,0.0000,7.0808
520000,0.0000,8.0749
525000,0.0000,5.3705
530000,0.0000,6.3784
535000,0.0000,7.5068
540000,0.0000,7.5680
545000,0.0000,6.1643
550000,0.0000,5.6532
555000,0.0000,5.6576
560000,0.0000,5.8544
565000,0.0000,5.1521
570000,0.0000,7.5432
575000,0.0000,5.9936
580000,0.0000,6.8863
585000,0.0000,7.4252
590000,0.0000,5.8120
595000,0.0000,6.0128
600000,0.0000,7.0632
605000,0.0000,5.7924
610000,0.0000,5.9767
615000,0.0000,6.8489
620000,0.0000,6.1971
625000,0.0000,6.2500
630000,0.0000,7.5591
635000,0.0000,7.5340
640000,0.0000,7.1820
645000,0.0000,7.1635
650000,0.0000,5.8846
655000,0.0000,7.7912
660000,0.0000,6.0273
665000,0.0000,6.6734
670000,0.0000,8.4927
675000,0.0000,5.4123
680000,0.0000,5.2432
685000,0.0000,6.6427
690000,0.0000,6.5816
695000,0.0000,6.7636
700000,0.0000,8.0254
705000,0.0000,7.4580
710000,0.0000,10.0431
715000,0.0000,9.1926
720000,0.0000,8.1790
725000,0.0000,7.5006
730000,0.0000,7.4018
735000,0.0000,8.7178
740000,0.0000,9.5109
745000,0.0000,6.5156
750000,0.0000,8.4223
755000,0.0000,8.8750
760000,0.0000,9.9584
765000,0.0000,8.1816
770000,0.0000,7.8218
775000,0.0000,7.2918
780000,0.0000,7.6546
785000,0.0000,9.8705
790000,0.0000,8.4262
795000,0.0000,7.1847
800000,0.0000,7.5677
805000,0.0000,8.6158
810000,0.0000,9.1904
815000,0.0000,9.5617
820000,0.0000,9.6989
825000,0.0000,9.7699
830000,0.0000,8.8126
835000,0.0000,7.9379
840000,0.0000,9.2588
845000,0.0000,6.9016
850000,0.0000,7.9519
855000,0.0000,5.7105
860000,0.0000,6.5963
865000,0.0000,6.5005
870000,0.0000,8.0252
875000,0.0000,8.6094
880000,0.0000,6.6958
885000,0.0000,10.3444
890000,0.0000,7.7486
895000,0.0000,8.6889
900000,0.0000,9.6431
905000,0.0000,8.5594
910000,0.0000,9.5801
915000,0.0000,7.6921
920000,0.0000,9.3867
925000,0.0000,9.0081
930000,0.0000,7.3353
935000,0.0000,7.6415
